ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
137 , 5BZBJ0244-5819 , 02 44 40.29 , -58 19 54.51 , 0.265  , 16.1 , BL Lac , 90 , 0 , 7.26 , 0
138 , 5BZBJ0248-1631 , 02 48 07.72 , -16 31 46.41 , 0  , 19.7 , BL Lac , 520 , 0 , 0 , 0
139 , 5BZBJ0250-2129 , 02 50 18.95 , -21 29 40.3 , 0.498  , 19 , BL Lac , 4 , 0 , 2.46 , 0
140 , 5BZBJ0253-0124 , 02 53 15.59 , -01 24 05.29 , 0  , 18.9 , BL Lac , 33 , 0 , 0.04 , 0
141 , 5BZBJ0258+2030 , 02 58 07.31 , +20 30 01.58 , 0  , 19.3 , BL Lac , 99 , 0 , 0.71 , 7e-10
142 , 5BZBJ0301+3441 , 03 01 03.77 , +34 41 01.21 , 0.246  , 18.1 , BL Lac , 10 , 0 , 0.39 , 0
143 , 5BZBJ0302-0750 , 03 02 35.77 , -07 50 26.91 , 0  , 20.3 , BL Lac , 8 , 0 , 0 , 0
144 , 5BZBJ0303+4716 , 03 03 35.23 , +47 16 16.28 , 0  , 16.2 , BL Lac , 963 , 1359 , 0.36 , 1.8e-9
145 , 5BZBJ0303-2407 , 03 03 26.5 , -24 07 11.38 , 0.266 ?  , 15.4 , BL Lac , 700 , 0 , 5.78 , 6.7e-9
146 , 5BZBJ0304-0054 , 03 04 33.95 , -00 54 04.6 , 0.511  , 18.6 , BL Lac , 28 , 0 , 0.74 , 0
147 , 5BZBJ0304-2832 , 03 04 16.32 , -28 32 18.09 , 0  , 19.8 , BL Lac , 8 , 0 , 3.07 , 4e-10
148 , 5BZBJ0305-0607 , 03 05 00.54 , -06 07 41.41 , 0  , 18.8 , BL Lac , 73 , 0 , 0 , 1e-9
149 , 5BZBJ0309-0744 , 03 09 43.24 , -07 44 27.49 , 0  , 17.4 , BL Lac , 82 , 0 , 0 , 9e-10
150 , 5BZBJ0309-3604 , 03 09 02.51 , -36 04 03.79 , 0  , 18.2 , BL Lac , 114 , 0 , 0 , 0
151 , 5BZBJ0310+4056 , 03 10 06.3 , +40 56 54.81 , 0.137 ?  , 14.8 , BL Lac Candidate , 30 , 0 , 0.6 , 0
152 , 5BZBJ0311-7701 , 03 11 25.32 , -77 01 34.5 , 0.32  , 17.7 , BL Lac Candidate , 9 , 0 , 0.03 , 0
153 , 5BZBJ0314+0619 , 03 14 23.89 , +06 19 56.89 , 0  , 17.5 , BL Lac , 29 , 0 , 7.07 , 0
154 , 5BZBJ0314-5104 , 03 14 25.68 , -51 04 31.69 , 0  , 18.4 , BL Lac , 103 , 0 , 0 , 6e-10
155 , 5BZBJ0315-1656 , 03 15 27.67 , -16 56 29.68 , 0  , 19.4 , BL Lac , 284 , 0 , 0 , 0
156 , 5BZBJ0316+0904 , 03 16 12.71 , +09 04 43.28 , 0  , 17.2 , BL Lac , 55 , 0 , 1.89 , 2.3e-9
157 , 5BZBJ0316-2216 , 03 16 33.74 , -22 16 12.79 , 0.228  , 17.3 , BL Lac , 4 , 0 , 1.38 , 0
158 , 5BZBJ0316-2607 , 03 16 14.93 , -26 07 57.21 , 0.443  , 17 , BL Lac , 21 , 0 , 3.05 , 6e-10
159 , 5BZBJ0316-6437 , 03 16 14.34 , -64 37 31.51 , 0  , 16.6 , BL Lac , 18 , 0 , 3.14 , 7e-10
160 , 5BZBJ0321+2336 , 03 21 59.93 , +23 36 11.01 , 0  , 16.4 , BL Lac , 76 , 0 , 0.65 , 1.4e-9
161 , 5BZBJ0323+0717 , 03 23 50.79 , +07 17 37.1 , 0  , 19.1 , BL Lac Candidate , 4 , 0 , 2.07 , 0
162 , 5BZBJ0323-0108 , 03 23 56.64 , -01 08 29.61 , 0.392  , 19.8 , BL Lac , 5 , 0 , 0.69 , 5e-10
163 , 5BZBJ0323-0111 , 03 23 43.61 , -01 11 46.1 , 0  , 16.6 , BL Lac , 30 , 0 , 0.6 , 5e-10
164 , 5BZBJ0325-1646 , 03 25 41.09 , -16 46 16.78 , 0.291  , 16.3 , BL Lac Candidate , 27 , 0 , 27.2 , 7e-10
165 , 5BZBJ0326+0225 , 03 26 13.97 , +02 25 14.69 , 0.147  , 15.3 , BL Lac , 68 , 0 , 12 , 1.3e-9
166 , 5BZBJ0333+2916 , 03 33 49.0 , +29 16 31.51 , 0  , 17.2 , BL Lac , 194 , 0 , 0.03 , 1.5e-9
167 , 5BZBJ0333+6536 , 03 33 56.74 , +65 36 56.19 , 0  , 17.7 , BL Lac , 288 , 0 , 0.27 , 8e-10
168 , 5BZBJ0333-3619 , 03 33 12.28 , -36 19 46.7 , 0.308  , 17.9 , BL Lac , 15 , 0 , 0.8 , 0
169 , 5BZBJ0334-3725 , 03 34 15.42 , -37 25 43.1 , 0  , 18.4 , BL Lac , 222 , 412 , 0.09 , 3.4e-9
170 , 5BZBJ0334-4008 , 03 34 13.64 , -40 08 25.4 , 0  , 17.5 , BL Lac , 1042 , 0 , 0.73 , 4.3e-9
171 , 5BZBJ0335-4459 , 03 35 13.9 , -44 59 39.98 , 0  , 16.7 , BL Lac , 19 , 0 , 1.96 , 7e-10
172 , 5BZBJ0336-0347 , 03 36 23.8 , -03 47 38.61 , 0.162 ?  , 16.3 , BL Lac , 54 , 0 , 1.73 , 0
173 , 5BZBJ0338-2443 , 03 38 12.49 , -24 43 50.3 , 0.251  , 18.6 , BL Lac , 13 , 0 , 1.06 , 0
